variant_id,pattern_id,category,difficulty,speedup_clang_O3,min_speedup_across_regimes,resistant
DS-4_v014,DS-4,Data Structure Inefficiency,hard,8.58,8.58,True
DS-4_v015,DS-4,Data Structure Inefficiency,medium,3.58,3.58,True
DS-4_v016,DS-4,Data Structure Inefficiency,medium,2.59,2.59,True
DS-4_v017,DS-4,Data Structure Inefficiency,hard,8.25,8.25,True
DS-4_v018,DS-4,Data Structure Inefficiency,hard,3.89,3.89,True
DS-4_v019,DS-4,Data Structure Inefficiency,hard,8.27,8.27,True
HR-2_v000,HR-2,Human-Style Antipatterns,medium,1.78,1.78,False
HR-2_v001,HR-2,Human-Style Antipatterns,medium,1.93,1.93,False
HR-2_v002,HR-2,Human-Style Antipatterns,medium,1.93,1.93,False
HR-2_v003,HR-2,Human-Style Antipatterns,medium,1.89,1.89,False
HR-2_v004,HR-2,Human-Style Antipatterns,medium,1.86,1.86,False
HR-2_v005,HR-2,Human-Style Antipatterns,medium,1.9,1.9,False
HR-2_v006,HR-2,Human-Style Antipatterns,medium,1.99,1.99,False
HR-2_v007,HR-2,Human-Style Antipatterns,medium,1.93,1.93,False
HR-2_v008,HR-2,Human-Style Antipatterns,medium,1.9,1.9,False
HR-2_v009,HR-2,Human-Style Antipatterns,medium,1.84,1.84,False
HR-2_v010,HR-2,Human-Style Antipatterns,medium,1.81,1.81,False
HR-2_v011,HR-2,Human-Style Antipatterns,medium,1.93,1.93,False
HR-2_v012,HR-2,Human-Style Antipatterns,medium,1.8,1.8,False
HR-2_v013,HR-2,Human-Style Antipatterns,medium,1.86,1.86,False
HR-2_v014,HR-2,Human-Style Antipatterns,medium,1.94,1.94,False
HR-3_v000,HR-3,Human-Style Antipatterns,hard,6.6,6.6,True
HR-3_v001,HR-3,Human-Style Antipatterns,hard,7.95,7.95,True
HR-3_v002,HR-3,Human-Style Antipatterns,hard,5.14,5.14,True
HR-3_v003,HR-3,Human-Style Antipatterns,hard,5.49,5.49,True
HR-3_v004,HR-3,Human-Style Antipatterns,hard,8.07,8.07,True
HR-3_v005,HR-3,Human-Style Antipatterns,hard,5.16,5.16,True
HR-3_v006,HR-3,Human-Style Antipatterns,hard,6.87,6.87,True
HR-3_v007,HR-3,Human-Style Antipatterns,hard,5.02,5.02,True
HR-3_v008,HR-3,Human-Style Antipatterns,hard,6.55,6.55,True
HR-3_v009,HR-3,Human-Style Antipatterns,hard,5.15,5.15,True
HR-3_v010,HR-3,Human-Style Antipatterns,hard,6.36,6.36,True
HR-3_v011,HR-3,Human-Style Antipatterns,hard,7.13,7.13,True
HR-3_v012,HR-3,Human-Style Antipatterns,hard,7.48,7.48,True
HR-3_v013,HR-3,Human-Style Antipatterns,hard,5.26,5.26,True
HR-3_v014,HR-3,Human-Style Antipatterns,hard,6.52,6.52,True
