variant_id,pattern_id,category,difficulty,metadata_compiler_fixable,slow_ms_O0,fast_ms_O0,speedup_O0,resistant_O0,slow_ms_O2,fast_ms_O2,speedup_O2,resistant_O2,slow_ms_O3,fast_ms_O3,speedup_O3,resistant_O3,slow_ms_O3_fast_math,fast_ms_O3_fast_math,speedup_O3_fast_math,resistant_O3_fast_math,slow_ms_O3_lto,fast_ms_O3_lto,speedup_O3_lto,resistant_O3_lto
CF-3_v013,CF-3,Control Flow,hard,False,9.8568,10.4906,0.94,False,2.8338,0.6312,4.49,True,3.423,0.7176,4.77,True,3.4004,0.6468,5.26,True,2.8242,0.6192,4.56,True
CF-3_v014,CF-3,Control Flow,hard,False,9.1236,8.2978,1.1,False,3.697,1.4498,2.55,True,3.2242,1.197,2.69,True,3.3722,1.3202,2.55,True,3.1004,1.221,2.54,True
CF-4_v000,CF-4,Control Flow,hard,False,4.0638,2.311,1.76,False,1.872,0.2284,8.2,True,1.1134,0.2268,4.91,True,1.1094,0.2382,4.66,True,1.0968,0.231,4.75,True
CF-4_v001,CF-4,Control Flow,hard,False,14.663,10.9166,1.34,False,5.4596,1.2512,4.36,True,5.106,1.2428,4.11,True,5.7604,1.2172,4.73,True,5.6014,1.228,4.56,True
CF-4_v002,CF-4,Control Flow,hard,False,8.2062,7.5746,1.08,False,3.2424,1.225,2.65,True,2.9092,1.22,2.38,True,2.993,1.2564,2.38,True,2.8366,1.2096,2.35,True
CF-4_v003,CF-4,Control Flow,hard,False,11.465,6.1476,1.86,False,4.5584,1.2628,3.61,True,2.9394,1.2428,2.37,True,2.8642,1.2098,2.37,True,3.1022,1.2282,2.53,True
CF-4_v004,CF-4,Control Flow,hard,False,3.8882,2.4412,1.59,False,1.6298,0.433,3.76,True,1.162,0.441,2.63,True,1.1688,0.455,2.57,True,1.272,0.493,2.58,True
CF-4_v005,CF-4,Control Flow,hard,False,9.5012,6.4756,1.47,False,4.1332,1.1928,3.47,True,2.9296,1.2274,2.39,True,2.8194,1.1934,2.36,True,3.0444,1.2372,2.46,True
CF-4_v006,CF-4,Control Flow,hard,False,8.2218,6.0596,1.36,False,4.078,1.1708,3.48,True,3.1076,1.2478,2.49,True,3.127,1.2734,2.46,True,2.9206,1.1596,2.52,True
CF-4_v007,CF-4,Control Flow,hard,False,16.6946,11.6554,1.43,False,7.7612,1.1912,6.52,True,5.5326,1.2464,4.44,True,5.7744,1.3998,4.13,True,5.4482,1.1338,4.81,True
CF-4_v008,CF-4,Control Flow,hard,False,14.5108,9.0606,1.6,False,8.9418,1.4194,6.3,True,5.3248,1.1008,4.84,True,5.7654,1.2378,4.66,True,5.7096,1.3288,4.3,True
